,sfr,fac,bod,art,nat
0,A,True,False,False,False
1,A,False,False,False,False
2,A,True,False,False,False
3,A,False,False,False,False
4,A,True,False,False,False
5,A,True,False,False,False
6,A,True,False,False,False
7,A,True,False,False,False
8,A,True,False,False,False
9,A,False,False,False,False
10,A,False,False,False,False
11,A,False,False,False,False
12,A,True,False,False,False
13,A,False,False,False,False
14,A,False,False,False,False
15,A,False,False,False,False
16,A,True,False,False,False
17,A,True,False,False,False
18,A,False,True,False,False
19,A,False,False,False,False
20,A,False,False,False,False
21,A,False,True,False,False
22,A,False,True,False,False
23,A,False,False,False,False
24,A,False,False,False,False
25,A,False,True,False,False
26,A,False,False,False,False
27,A,False,True,False,False
28,A,False,False,False,False
29,A,False,True,False,False
30,A,False,True,False,False
31,A,False,False,False,False
32,A,False,False,False,False
33,A,False,False,False,False
34,A,False,False,False,False
35,A,False,True,False,False
36,A,False,False,False,False
37,A,False,False,False,True
38,A,False,False,False,True
39,A,False,False,False,True
40,A,False,False,False,True
41,A,False,False,False,True
42,A,False,False,False,True
43,A,False,False,False,False
44,A,False,False,False,False
45,A,False,False,False,True
46,A,False,False,False,True
47,A,False,False,False,True
48,A,False,False,False,True
49,A,False,False,False,True
50,A,False,False,False,True
51,A,False,False,False,True
52,A,False,False,False,True
53,A,False,False,False,True
54,A,False,False,True,False
55,A,False,False,True,False
56,A,False,False,True,False
57,A,False,False,True,False
58,A,False,False,True,False
59,A,False,False,True,False
60,A,False,False,True,False
61,A,False,False,False,False
62,A,False,False,True,False
63,A,False,False,False,False
64,A,False,False,True,False
65,A,False,False,True,False
66,A,False,False,True,False
67,A,False,False,True,False
68,A,False,False,True,False
69,A,False,False,False,False
70,A,False,False,True,False
71,A,False,False,False,True
72,A,False,False,False,True
73,A,False,False,True,False
74,BH,True,False,False,False
75,BH,True,False,False,False
76,BH,True,False,False,False
77,BH,True,False,False,False
78,BH,True,False,False,False
79,BH,True,False,False,False
80,BH,False,False,False,False
81,BH,False,False,False,False
82,BH,True,False,False,False
83,BH,False,True,False,False
84,BH,False,True,False,False
85,BH,False,True,False,False
86,BH,False,True,False,False
87,BH,False,False,False,False
88,BH,False,False,False,False
89,BH,False,False,False,True
90,BH,False,False,False,True
91,BH,False,False,False,True
92,BH,False,False,False,True
93,BH,False,False,False,True
94,BH,False,False,False,True
95,BH,False,False,True,False
96,BH,False,False,True,False
97,BH,False,False,True,False
98,BH,False,False,True,False
99,BH,False,False,True,False
100,BH,False,False,True,False
101,BI,True,False,False,False
102,BI,True,False,False,False
103,BI,True,False,False,False
104,BI,True,False,False,False
105,BI,True,False,False,False
106,BI,True,False,False,False
107,BI,False,False,False,False
108,BI,False,False,False,False
109,BI,True,False,False,False
110,BI,False,True,False,False
111,BI,False,True,False,False
112,BI,False,True,False,False
113,BI,False,True,False,False
114,BI,False,False,False,False
115,BI,False,False,False,False
116,BI,False,False,False,True
117,BI,False,False,False,True
118,BI,False,False,False,True
119,BI,False,False,False,True
120,BI,False,False,False,True
121,BI,False,False,False,True
122,BI,False,False,True,False
123,BI,False,False,True,False
124,BI,False,False,True,False
125,BI,False,False,True,False
126,BI,False,False,True,False
127,BI,False,False,True,False
128,BL,True,False,False,False
129,BL,True,False,False,False
130,BL,True,False,False,False
131,BL,True,False,False,False
132,BL,True,False,False,False
133,BL,True,False,False,False
134,BL,False,False,False,False
135,BL,False,False,False,False
136,BL,True,False,False,False
137,BL,False,True,False,False
138,BL,False,True,False,False
139,BL,False,True,False,False
140,BL,False,True,False,False
141,BL,False,False,False,False
142,BL,False,False,False,False
143,BL,False,False,False,True
144,BL,False,False,False,True
145,BL,False,False,False,True
146,BL,False,False,False,True
147,BL,False,False,False,True
148,BL,False,False,False,True
149,BL,False,False,True,False
150,BL,False,False,True,False
151,BL,False,False,True,False
152,BL,False,False,True,False
153,BL,False,False,True,False
154,BL,False,False,True,False
155,C,True,False,False,False
156,C,True,False,False,False
157,C,True,False,False,False
158,C,True,False,False,False
159,C,True,False,False,False
160,C,True,False,False,False
161,C,True,False,False,False
162,C,True,False,False,False
163,C,True,False,False,False
164,C,True,False,False,False
165,C,True,False,False,False
166,C,True,False,False,False
167,C,True,False,False,False
168,C,True,False,False,False
169,C,True,False,False,False
